query_path,query_image,query_label,rank,base_path,base_image,base_label,similarity,is_relevant
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,15,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-8435e5dde71190ef3fb9b9cecf96bf1efcfa60f1.jpeg,mh-8435e5dde71190ef3fb9b9cecf96bf1efcfa60f1.jpeg,mh,0.7197589874267578,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,16,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-20240515220850.jpg,mh-20240515220850.jpg,mh,0.7185729146003723,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,17,D:\BJTU_CV_Exp2\dataset\base\util_pic\balliol_000059.jpg,balliol_000059.jpg,balliol,0.717561662197113,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,18,D:\BJTU_CV_Exp2\dataset\base\util_pic\magdalen_000427.jpg,magdalen_000427.jpg,magdalen,0.7166458368301392,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,19,D:\BJTU_CV_Exp2\dataset\base\util_pic\worcester_000119.jpg,worcester_000119.jpg,worcester,0.7148227095603943,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,20,D:\BJTU_CV_Exp2\dataset\base\BJTU\yk-3vbcn.jpg,yk-3vbcn.jpg,yk,0.71305251121521,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,21,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-jadufhaeuhfug.jpg,mh-jadufhaeuhfug.jpg,mh,0.7121737003326416,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,22,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-qwehjkcvb36790.jpg,mh-qwehjkcvb36790.jpg,mh,0.7109379768371582,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,23,D:\BJTU_CV_Exp2\dataset\base\util_pic\magdalen_001028.jpg,magdalen_001028.jpg,magdalen,0.7100368738174438,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,24,D:\BJTU_CV_Exp2\dataset\base\BJTU\sjz-udjewn28474889.jpg,sjz-udjewn28474889.jpg,sjz,0.7091242074966431,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,25,D:\BJTU_CV_Exp2\dataset\base\util_pic\magdalen_000860.jpg,magdalen_000860.jpg,magdalen,0.7087318301200867,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,26,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-a8f6s.png,mh-a8f6s.png,mh,0.7078919410705566,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,27,D:\BJTU_CV_Exp2\dataset\base\util_pic\oxford_003578.jpg,oxford_003578.jpg,oxford,0.7078384160995483,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,28,D:\BJTU_CV_Exp2\dataset\base\BJTU\zx-op234kowqr132we.jpg,zx-op234kowqr132we.jpg,zx,0.7063910961151123,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,29,D:\BJTU_CV_Exp2\dataset\base\util_pic\oxford_000930.jpg,oxford_000930.jpg,oxford,0.7060088515281677,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,30,D:\BJTU_CV_Exp2\dataset\base\util_pic\all_souls_000215.jpg,all_souls_000215.jpg,all,0.7042105197906494,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,31,D:\BJTU_CV_Exp2\dataset\base\util_pic\oxford_000334.jpg,oxford_000334.jpg,oxford,0.7035892009735107,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,32,D:\BJTU_CV_Exp2\dataset\base\util_pic\oxford_003321.jpg,oxford_003321.jpg,oxford,0.7033039331436157,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,33,D:\BJTU_CV_Exp2\dataset\base\util_pic\magdalen_000186.jpg,magdalen_000186.jpg,magdalen,0.7027614116668701,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,34,D:\BJTU_CV_Exp2\dataset\base\util_pic\oxford_001754.jpg,oxford_001754.jpg,oxford,0.702226996421814,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,35,D:\BJTU_CV_Exp2\dataset\base\BJTU\yk-d217653d75dbd347dcc939cc45659346.jpg,yk-d217653d75dbd347dcc939cc45659346.jpg,yk,0.7020175457000732,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,36,D:\BJTU_CV_Exp2\dataset\base\util_pic\balliol_000213.jpg,balliol_000213.jpg,balliol,0.7003219127655029,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,37,D:\BJTU_CV_Exp2\dataset\base\util_pic\magdalen_000111.jpg,magdalen_000111.jpg,magdalen,0.6996040344238281,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,38,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-202505071933001.jpg,mh-202505071933001.jpg,mh,0.699181079864502,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,39,D:\BJTU_CV_Exp2\dataset\base\util_pic\christ_church_000546.jpg,christ_church_000546.jpg,christ,0.6990845203399658,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,40,D:\BJTU_CV_Exp2\dataset\base\util_pic\magdalen_000979.jpg,magdalen_000979.jpg,magdalen,0.6988434791564941,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,41,D:\BJTU_CV_Exp2\dataset\base\util_pic\oxford_003137.jpg,oxford_003137.jpg,oxford,0.6986088156700134,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,42,D:\BJTU_CV_Exp2\dataset\base\BJTU\sjz-jnc7yfsl08.jpg,sjz-jnc7yfsl08.jpg,sjz,0.698213517665863,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,43,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-hjsbdcjhdsb.jpg,mh-hjsbdcjhdsb.jpg,mh,0.6978491544723511,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,44,D:\BJTU_CV_Exp2\dataset\base\BJTU\tsg-sdj724323y.jpg,tsg-sdj724323y.jpg,tsg,0.697705864906311,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,45,D:\BJTU_CV_Exp2\dataset\base\BJTU\nm-c7baywgefuhaupw9y.jpg,nm-c7baywgefuhaupw9y.jpg,nm,0.6971803903579712,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,46,D:\BJTU_CV_Exp2\dataset\base\BJTU\sy-1fvhug.jpg,sy-1fvhug.jpg,sy,0.6958224773406982,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,47,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-dgjsisgd7as8g245.jpg,mh-dgjsisgd7as8g245.jpg,mh,0.6957507133483887,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,48,D:\BJTU_CV_Exp2\dataset\base\util_pic\oxford_001641.jpg,oxford_001641.jpg,oxford,0.6954931020736694,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,49,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-a78ni6dq6afdai.jpg,mh-a78ni6dq6afdai.jpg,mh,0.6954793334007263,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,50,D:\BJTU_CV_Exp2\dataset\base\util_pic\keble_000251.jpg,keble_000251.jpg,keble,0.6949676275253296,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,51,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-24jbdkjb443.jpg,mh-24jbdkjb443.jpg,mh,0.6948847770690918,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,52,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-euife123433.jpeg,fhy-euife123433.jpeg,fhy,0.6942380666732788,1
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,53,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-300087ee-f94d-4087-a447-8803cdc59c58.png,mh-300087ee-f94d-4087-a447-8803cdc59c58.png,mh,0.6933032870292664,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,54,D:\BJTU_CV_Exp2\dataset\base\BJTU\nm-hfuishfio.jpg,nm-hfuishfio.jpg,nm,0.6930774450302124,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,55,D:\BJTU_CV_Exp2\dataset\base\util_pic\oxford_003494.jpg,oxford_003494.jpg,oxford,0.6926544904708862,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,56,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-e3530230780e.png,mh-e3530230780e.png,mh,0.69247967004776,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,57,D:\BJTU_CV_Exp2\dataset\base\util_pic\magdalen_000414.jpg,magdalen_000414.jpg,magdalen,0.6919126510620117,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,58,D:\BJTU_CV_Exp2\dataset\base\util_pic\oxford_000119.jpg,oxford_000119.jpg,oxford,0.6918314695358276,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,59,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-kmyheartwillgoon576.jpg,mh-kmyheartwillgoon576.jpg,mh,0.6917569041252136,0
D:\BJTU_CV_Exp2\dataset\query\fhy-12k4jb1k421.jpg,fhy-12k4jb1k421.jpg,fhy,60,D:\BJTU_CV_Exp2\dataset\base\BJTU\mh-clp56563784.png,mh-clp56563784.png,mh,0.6912122368812561,0
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,1,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-hddaetazsvaaaa.jpg,fhy-hddaetazsvaaaa.jpg,fhy,0.9142211079597473,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,2,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-j4m0yulaiz.jpg,fhy-j4m0yulaiz.jpg,fhy,0.9045647382736206,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,3,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-aiubougqe88813.jpeg,fhy-aiubougqe88813.jpeg,fhy,0.8998271822929382,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,4,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-ivjnjnfj.jpg,fhy-ivjnjnfj.jpg,fhy,0.8957247734069824,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,5,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-5aa55e1ebef1e6f421246d963642368.jpg,fhy-5aa55e1ebef1e6f421246d963642368.jpg,fhy,0.8947505950927734,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,6,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-4c0zociGYSY6cJ.jpg,fhy-4c0zociGYSY6cJ.jpg,fhy,0.891726016998291,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,7,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-d484z2bquzbp5.jpg,fhy-d484z2bquzbp5.jpg,fhy,0.8901921510696411,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,8,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-aidy83964fauh.jpg,fhy-aidy83964fauh.jpg,fhy,0.8887368440628052,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,9,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-ne5875.png,fhy-ne5875.png,fhy,0.8883683085441589,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,10,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-sadlk456213.jpg,fhy-sadlk456213.jpg,fhy,0.8879090547561646,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,11,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-e3ws278y.jpg,fhy-e3ws278y.jpg,fhy,0.88465416431427,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,12,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-20250506194941.jpg,fhy-20250506194941.jpg,fhy,0.8845522403717041,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,13,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-asdoigbqiebru9013ht.jpeg,fhy-asdoigbqiebru9013ht.jpeg,fhy,0.8829173445701599,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,14,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-bc5209865baecbe4a27a4bc9f1cea07.jpg,fhy-bc5209865baecbe4a27a4bc9f1cea07.jpg,fhy,0.88063645362854,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,15,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-3de87u3tgh.jpg,fhy-3de87u3tgh.jpg,fhy,0.8796828985214233,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,16,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-20250506194934.jpg,fhy-20250506194934.jpg,fhy,0.8779788017272949,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,17,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-rxxS9GzsMCecwZ.jpg,fhy-rxxS9GzsMCecwZ.jpg,fhy,0.8739734888076782,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,18,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-zjybjtu030506022.jpg,fhy-zjybjtu030506022.jpg,fhy,0.8738402724266052,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,19,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-lt9xv5vmlbcjw.jpg,fhy-lt9xv5vmlbcjw.jpg,fhy,0.8738172650337219,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,20,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-crzlcn35059055.jpg,fhy-crzlcn35059055.jpg,fhy,0.8667620420455933,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,21,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-2JChNuYx7RNb00N.jpg,fhy-2JChNuYx7RNb00N.jpg,fhy,0.8646841049194336,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,22,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-zcd123.jpg,fhy-zcd123.jpg,fhy,0.864346981048584,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,23,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-322193f428.jpg,fhy-322193f428.jpg,fhy,0.8625123500823975,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,24,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-w3rdg6cbi2ihfc.jpg,fhy-w3rdg6cbi2ihfc.jpg,fhy,0.8611104488372803,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,25,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-qp7t9354h0.jpg,fhy-qp7t9354h0.jpg,fhy,0.8598229289054871,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,26,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-2s87tgr.jpg,fhy-2s87tgr.jpg,fhy,0.8589009642601013,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,27,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-xgfafd54612177.jpg,fhy-xgfafd54612177.jpg,fhy,0.8585131764411926,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,28,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-202505061032571.jpg,fhy-202505061032571.jpg,fhy,0.8584747314453125,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,29,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-bhvd1673.jpg,fhy-bhvd1673.jpg,fhy,0.8584514856338501,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,30,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-bfeibrj324342.jpg,fhy-bfeibrj324342.jpg,fhy,0.8565568327903748,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,31,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-dsn4t3.jpg,fhy-dsn4t3.jpg,fhy,0.8559446930885315,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,32,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-09324032u092r9w.jpg,fhy-09324032u092r9w.jpg,fhy,0.8545426726341248,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,33,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-24j4bh2.jpg,fhy-24j4bh2.jpg,fhy,0.8525530099868774,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,34,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-p8eobxs35yz8sr.jpg,fhy-p8eobxs35yz8sr.jpg,fhy,0.8522639274597168,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,35,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-203mzvl40lqdbvszwtveh.png,fhy-203mzvl40lqdbvszwtveh.png,fhy,0.8500510454177856,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,36,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-uaisbdoq3ri8.jpeg,fhy-uaisbdoq3ri8.jpeg,fhy,0.849911630153656,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,37,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-2i3j4k5l6m7n.jpeg,fhy-2i3j4k5l6m7n.jpeg,fhy,0.849911630153656,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,38,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-avljk61804.png,fhy-avljk61804.png,fhy,0.849911630153656,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,39,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-3540a9c1877e.png,fhy-3540a9c1877e.png,fhy,0.8497616648674011,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,40,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-wbiutb9v8dhu3i2.jpg,fhy-wbiutb9v8dhu3i2.jpg,fhy,0.8492327928543091,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,41,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-4e8c7363e6523c4875589ef3031d8bcb.jpg,fhy-4e8c7363e6523c4875589ef3031d8bcb.jpg,fhy,0.8482693433761597,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,42,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-m7xg29d5cuoap0.jpg,fhy-m7xg29d5cuoap0.jpg,fhy,0.8481202125549316,1
D:\BJTU_CV_Exp2\dataset\query\fhy-20250506194938.jpg,fhy-20250506194938.jpg,fhy,43,D:\BJTU_CV_Exp2\dataset\base\BJTU\fhy-331e6ed666a9ca14c66c513641d52c58.png,fhy-331e6ed666a9ca14c66c513641d52c58.png,fhy,0.8473052382469177,1
